"TIME","CH1","CH2","CH3"
-9.750e-03,-1.76,2.6,0.84
-9.748e-03,-1.64,2.6,0.8
-9.746e-03,-1.72,2.5,0.92
-9.744e-03,-1.7,2.5,0.84
-9.742e-03,-1.7,2.5,0.88
-9.740e-03,-1.76,2.6,0.88
-9.738e-03,-1.68,2.7,0.84
-9.736e-03,-1.7,2.4,0.92
-9.734e-03,-1.66,2.5,0.92
-9.732e-03,-1.7,2.6,0.92
-9.730e-03,-1.72,2.5,0.84
-9.728e-03,-1.78,2.3,0.84
-9.726e-03,-1.74,2.5,0.76
-9.724e-03,-1.7,2.5,0.84
-9.722e-03,-1.76,2.5,0.88
-9.720e-03,-1.74,2.5,0.88
-9.718e-03,-1.72,2.6,0.84
-9.716e-03,-1.7,2.5,0.88
-9.714e-03,-1.8,2.5,0.84
-9.712e-03,-1.7,2.4,0.84
-9.710e-03,-1.76,2.5,0.92
-9.708e-03,-1.74,2.7,0.88
-9.706e-03,-1.76,2.4,0.8
-9.704e-03,-1.68,2.5,0.88
-9.702e-03,-1.72,2.5,0.76
-9.700e-03,-1.76,2.5,0.88
-9.698e-03,-1.72,2.7,0.84
-9.696e-03,-1.8,2.4,0.92
-9.694e-03,-1.7,2.5,0.92
-9.692e-03,-1.72,2.6,0.92
-9.690e-03,-1.74,2.5,0.92
-9.688e-03,-1.72,2.4,0.92
-9.686e-03,-1.76,2.7,0.84
-9.684e-03,-1.76,2.5,0.88
-9.682e-03,-1.7,2.4,0.88
-9.680e-03,-1.76,2.7,0.88
-9.678e-03,-1.68,2.4,0.84
-9.676e-03,-1.68,2.6,0.84
-9.674e-03,-1.76,2.5,0.92
-9.672e-03,-1.74,2.5,0.88
-9.670e-03,-1.74,2.5,0.88
-9.668e-03,-1.78,2.4,0.92
-9.666e-03,-1.72,2.5,1
-9.664e-03,-1.76,2.5,0.88
-9.662e-03,-1.78,2.4,0.96
-9.660e-03,-1.76,2.6,0.96
-9.658e-03,-1.76,2.4,0.92
-9.656e-03,-1.76,2.6,0.92
-9.654e-03,-1.78,2.4,0.92
-9.652e-03,-1.7,2.5,0.92
-9.650e-03,-1.76,2.6,0.92
-9.648e-03,-1.72,2.5,1
-9.646e-03,-1.7,2.2,0.92
-9.644e-03,-1.76,2.6,1
-9.642e-03,-1.74,2.3,0.96
-9.640e-03,-1.78,2.4,0.88
-9.638e-03,-1.74,2.6,1
-9.636e-03,-1.72,2.5,0.88
-9.634e-03,-1.74,2.7,0.88
-9.632e-03,-1.76,2.5,0.96
-9.630e-03,-1.74,2.6,0.88
-9.628e-03,-1.76,2.7,0.96
-9.626e-03,-1.72,2.5,0.92
