"TIME","CH1","CH2","CH4"
-4.5150e+01,0.5312,0.312,1.2
-4.5140e+01,0.5298,0.312,1
-4.5130e+01,0.5296,0.312,1.2
-4.5120e+01,0.5294,0.32,1.4
-4.5110e+01,0.5316,0.32,1.4
-4.5100e+01,0.5288,0.316,1.2
-4.5090e+01,0.5314,0.324,1.4
-4.5080e+01,0.5308,0.328,1.4
-4.5070e+01,0.531,0.316,1.4
-4.5060e+01,0.5298,0.336,2.2
-4.5050e+01,0.532,0.32,1.4
-4.5040e+01,0.5304,0.32,1.2
-4.5030e+01,0.5308,0.32,1.4
-4.5020e+01,0.5306,0.324,1.8
-4.5010e+01,0.5306,0.324,1.2
-4.5000e+01,0.5296,0.3,1.8
-4.4990e+01,0.532,0.316,1.4
-4.4980e+01,0.5306,0.316,1.4
-4.4970e+01,0.532,0.324,1.2
-4.4960e+01,0.5302,0.32,1.4
-4.4950e+01,0.5318,0.324,1.4
-4.4940e+01,0.5304,0.32,1.4
-4.4930e+01,0.5318,0.328,1.6
-4.4920e+01,0.53,0.328,1.4
-4.4910e+01,0.5314,0.316,1.4
-4.4900e+01,0.5314,0.32,1.4
-4.4890e+01,0.5316,0.316,1.2
-4.4880e+01,0.5306,0.32,1.4
-4.4870e+01,0.532,0.32,1.4
-4.4860e+01,0.53,0.328,1.8
-4.4850e+01,0.532,0.332,1.4
-4.4840e+01,0.5314,0.32,1.4
-4.4830e+01,0.532,0.316,1.6
-4.4820e+01,0.5304,0.32,1.4
-4.4810e+01,0.5314,0.308,1.6
-4.4800e+01,0.5302,0.32,1.4
-4.4790e+01,0.532,0.336,1.4
-4.4780e+01,0.5314,0.308,1.4
-4.4770e+01,0.5316,0.316,1.4
-4.4760e+01,0.53,0.332,1.4
-4.4750e+01,0.5316,0.316,1.8
-4.4740e+01,0.5292,0.332,1.4
-4.4730e+01,0.5324,0.328,1.4
-4.4720e+01,0.5306,0.332,1.4
-4.4710e+01,0.5318,0.328,1.6
-4.4700e+01,0.5304,0.32,1.2
-4.4690e+01,0.5328,0.324,1.8
-4.4680e+01,0.5306,0.308,0.8
